website,name,link,salary_min,salary_max,salary_currency,employer,address
hh.ru,Стажер-программист,https://spb.hh.ru/vacancy/55385897,18000.0,26000.0,руб,Meanotek,Казань
hh.ru,Middle Python разработчик,https://spb.hh.ru/vacancy/66103398,150000.0,250000.0,руб,Carbon Soft,"Москва, Проспект Вернадского"
hh.ru,Middle Python developer,https://spb.hh.ru/vacancy/48586304,150000.0,200000.0,руб,ООО Селфсек,"Москва, Трубная и еще 2 "
hh.ru,Junior Data Engineer (GameDev),https://spb.hh.ru/vacancy/55315921,,,,AppQuantum,"Москва, Автозаводская"
hh.ru,Python developer,https://spb.hh.ru/vacancy/66112913,,100000.0,руб,Сайтсофт,"Екатеринбург, Геологическая и еще 1 "
hh.ru,Младший аналитик данных (Junior data analyst),https://spb.hh.ru/vacancy/54721740,100000.0,,руб,ООО Финансово-правовой альянс,"Санкт-Петербург, Сенная площадь"
hh.ru,Software Engineer (Python/Data/MLOps),https://spb.hh.ru/vacancy/55536508,4000.0,6000.0,USD,Alber Blanc,Санкт-Петербург
hh.ru,Python разработчик,https://spb.hh.ru/vacancy/66100902,,,,AYA Group,Казань
hh.ru,QA Load (Python),https://spb.hh.ru/vacancy/55300260,250000.0,300000.0,руб,КИБЕР-РОМ,Москва
hh.ru,"Тестировщик ПО, Автоматизация ПО (Automate QA, Python, Junior)",https://spb.hh.ru/vacancy/55378030,140000.0,180000.0,руб,Devquality,Москва
hh.ru,Python разработчик,https://spb.hh.ru/vacancy/55142782,,,,Омега,"Санкт-Петербург, Ломоносовская и еще 1 "
hh.ru,Python developer,https://spb.hh.ru/vacancy/66075600,,,,Chocofamily,Алматы
hh.ru,Senior Python developer || to Montenegro,https://spb.hh.ru/vacancy/66121737,4000.0,7000.0,USD,Lucky Hunter,Москва
hh.ru,Аналитик,https://spb.hh.ru/vacancy/55532882,,240000.0,руб,Точка,Санкт-Петербург
hh.ru,Backend-разработчик Python/Django,https://spb.hh.ru/vacancy/55314466,,,,AlfaBit.Group,Краснодар
hh.ru,Python developer (senior),https://spb.hh.ru/vacancy/66110095,,350000.0,руб,Cindicator,Санкт-Петербург
hh.ru,Python разработчик,https://spb.hh.ru/vacancy/55898295,30000.0,,руб,ООО Амбер,Санкт-Петербург
hh.ru,Junior Data scientist/ Младший риск-аналитик,https://spb.hh.ru/vacancy/54882705,,,,Pay P.S.,"Москва, Динамо и еще 1 "
hh.ru,Разработчик Python/Django,https://spb.hh.ru/vacancy/55311097,100000.0,,руб,AlfaBit.Group,Краснодар
hh.ru,Python-разработчик в команду Data Science,https://spb.hh.ru/vacancy/66104114,,,,2ГИС,Нижний Новгород
hh.ru,Backend developer (Python),https://spb.hh.ru/vacancy/48725584,,,,ООО Константа,"Москва, Красносельская"
hh.ru,Аналитик (Data Analyst),https://spb.hh.ru/vacancy/66137068,,,,АО Jusan Bank,Алматы
hh.ru,Python Разработчик,https://spb.hh.ru/vacancy/55260504,,250000.0,руб,Quiet Media,"Москва, Киевская и еще 2 "
hh.ru,Middle+ Backend Python/Django,https://spb.hh.ru/vacancy/55191872,175000.0,,руб,Schaffhausen Institute of Technology,"Москва, Ботанический сад и еще 1 "
hh.ru,Python Linux developer (remote),https://spb.hh.ru/vacancy/50895660,,5000.0,USD,ООО Темпеста,Москва
hh.ru,Python-разработчик в команду Data Science,https://spb.hh.ru/vacancy/66096082,,,,2ГИС,Санкт-Петербург
hh.ru,Программист Python,https://spb.hh.ru/vacancy/55390481,,,,Group-IB,Москва
hh.ru,Python developer (Django),https://spb.hh.ru/vacancy/66108671,,,,Kokoc Group,Санкт-Петербург
hh.ru,Python Backend Developer / WEB - разработчик,https://spb.hh.ru/vacancy/55197951,220000.0,280000.0,руб,ООО Перфект Системс,Москва
hh.ru,Программист / Разработчик Python/Django (middle),https://spb.hh.ru/vacancy/55426713,170000.0,250000.0,руб,CATAPULTO.RU,"Москва, Павелецкая и еще 1 "
hh.ru,Python-разработчик в команду Data Science,https://spb.hh.ru/vacancy/66104116,,,,2ГИС,Краснодар
hh.ru,Python Developer,https://spb.hh.ru/vacancy/54695373,,,,ООО УайтСнейк,Минск
hh.ru,Junior/Middle Data Scientist,https://spb.hh.ru/vacancy/55120401,,,,"СтарЛайн, Научно-производственное объединение","Санкт-Петербург, Горьковская и еще 1 "
hh.ru,Senior Python-разработчик,https://spb.hh.ru/vacancy/54899635,,400000.0,руб,"Hi, Rockits!",Москва
hh.ru,Python Developer,https://spb.hh.ru/vacancy/55364720,,300000.0,руб,HR Prime,Москва
hh.ru,Data Scientist,https://spb.hh.ru/vacancy/66146489,,,,ООО БиАйЭй-Технолоджиз,"Санкт-Петербург, Фрунзенская"
hh.ru,Senior Python Developer,https://spb.hh.ru/vacancy/58433629,4000.0,6000.0,USD,Воронина Мария,Москва
hh.ru,Программист Python,https://spb.hh.ru/vacancy/55898814,50000.0,80000.0,руб,ИП Галимзянов Данил Агзамович,Казань
hh.ru,Middle/Senior Data Scientist,https://spb.hh.ru/vacancy/66141653,200000.0,,руб,JuicyScore,Москва
hh.ru,Разработчик Python middle,https://spb.hh.ru/vacancy/55228313,200000.0,,руб,Триафлай,"Москва, Парк культуры"
hh.ru,Практикант в Департамент развития бизнеса,https://spb.hh.ru/vacancy/66078348,,,,ПАО «Газпром нефть»,Санкт-Петербург
hh.ru,Python Developer,https://spb.hh.ru/vacancy/55104197,,,,Innowise Group / Фабрика инноваций и решений,"Минск, Площадь Якуба Коласа"
hh.ru,Senior / Middle Python Developer / Teamlead,https://spb.hh.ru/vacancy/54297088,300000.0,,руб,ТехноНИКОЛЬ,Москва
hh.ru,Python developer (Django),https://spb.hh.ru/vacancy/66108700,,,,Kokoc Group,Краснодар
hh.ru,Специалист по разработке и сопровождению чат-бота на Python,https://spb.hh.ru/vacancy/55246126,1200.0,2000.0,бел,ОАО АСБ Беларусбанк,Минск
hh.ru,Разработчик Python,https://spb.hh.ru/vacancy/66073758,,,,ADV/web-engineering,"Москва, Дмитровская"
hh.ru,Старший разработчик Python,https://spb.hh.ru/vacancy/55127937,200000.0,,руб,ООО СБКЛАУД,Москва
hh.ru,Python Developer,https://spb.hh.ru/vacancy/55560562,2500.0,6500.0,USD,Top Remote Talent,Москва
hh.ru,Python-разработчик в R&D отдел,https://spb.hh.ru/vacancy/49299311,100000.0,150000.0,руб,ООО Селфсек,Санкт-Петербург
hh.ru,Python Middle+ разработчик,https://spb.hh.ru/vacancy/52390288,100000.0,200000.0,руб,it-aces.com,Новосибирск
hh.ru,Аналитик данных (middle) / удаленная работа,https://spb.hh.ru/vacancy/55187199,80000.0,90000.0,руб,Profilance Group (ИП Страмоусов Марк Петрович),Нижний Новгород
hh.ru,Программист Python (прикладная математика),https://spb.hh.ru/vacancy/48411370,,,,ЗАЗЕКС,Ростов-на-Дону
hh.ru,Senior Python Developer - AI/ML Infrastructure (to Canada/Serbia),https://spb.hh.ru/vacancy/54346658,8500.0,11000.0,USD,Behavox,Санкт-Петербург
hh.ru,Python developer (Flask/Tornado),https://spb.hh.ru/vacancy/53948584,,,,BI.ZONE Направление Разработка,"Москва, Бауманская и еще 2 "
hh.ru,Data engineer / Data analyst,https://spb.hh.ru/vacancy/66147837,,,,Bell Integrator,Москва
hh.ru,Full-stack developer - Python,https://spb.hh.ru/vacancy/66115051,,,,Частное учреждение по цифровизации атомной отрасли «Цифрум»,Москва
hh.ru,Data Analyst (Middle/Senior),https://spb.hh.ru/vacancy/55546883,,,,inDriver,Алматы
hh.ru,Python Developer,https://spb.hh.ru/vacancy/66116470,,,,ООО ЦИФРА,Кемерово
hh.ru,Middle/Senior Python Developer (удаленно),https://spb.hh.ru/vacancy/55167283,,2500.0,USD,Crezu,Москва
hh.ru,Разработчик DWH,https://spb.hh.ru/vacancy/52990280,200000.0,300000.0,руб,ООО МФК ВЭББАНКИР,Москва
hh.ru,Backend разработчик,https://spb.hh.ru/vacancy/55341190,90000.0,250000.0,руб,Kvando Technologies,Брянск
hh.ru,Python-разработчик,https://spb.hh.ru/vacancy/55101983,,,,ООО Регистратор доменных имен РЕГ.РУ,Москва
hh.ru,Junior Data Engineer,https://spb.hh.ru/vacancy/55889170,,,,"ООО АгроТерра, группа компаний",Москва
hh.ru,Senior Python Developer,https://spb.hh.ru/vacancy/66095960,,,,ТОО Prime Source,Алматы
hh.ru,Python developer,https://spb.hh.ru/vacancy/57389047,,,,ЗАО Группа компаний С7,Москва
hh.ru,Back-end Developer,https://spb.hh.ru/vacancy/55514948,300000.0,1000000.0,KZT,Частная компания FLYING BIRD Ltd.,Нур-Султан
hh.ru,Data Analyst (Marketing),https://spb.hh.ru/vacancy/54246797,,,,Dankolab,Санкт-Петербург
hh.ru,Программист Python (стажер),https://spb.hh.ru/vacancy/53644433,,,,АО РТИ,Москва
hh.ru,Backend Developer Senior (Python 3),https://spb.hh.ru/vacancy/66116876,,,,FORTA,Москва
hh.ru,Разработчик Python (SberWorks),https://spb.hh.ru/vacancy/66108031,,,,Сбер. IT,"Москва, Верхние Котлы и еще 1 "
hh.ru,Pyth‎on Developer,https://spb.hh.ru/vacancy/51410388,,,,Циан,"Москва, Преображенская площадь"
hh.ru,Python разработчик,https://spb.hh.ru/vacancy/51847609,,,,EvoSoft,Красноярск
hh.ru,Python разработчик,https://spb.hh.ru/vacancy/55883269,60000.0,,руб,ООО ПК Энергосбережение,Архангельск
hh.ru,Разработчик Python ML/обработка естественного языка,https://spb.hh.ru/vacancy/54349455,,,,ELMA,Ижевск
hh.ru,Python-разработчик (SberWorks),https://spb.hh.ru/vacancy/66107001,,,,Сбер. IT,"Москва, Верхние Котлы и еще 1 "
hh.ru,"Middle Python developer в МТС Аналитику (центр RnD, Big Data)",https://spb.hh.ru/vacancy/66133261,,,,"ПАО «МТС», IT",Москва
hh.ru,Python разработчик инфраструктуры,https://spb.hh.ru/vacancy/55234566,,200000.0,руб,Баззула Интернет Технологии,Москва
hh.ru,Middle/Senior Python разработчик (удаленно),https://spb.hh.ru/vacancy/54368979,,250000.0,руб,StormWall™,Москва
hh.ru,DevOps инженер,https://spb.hh.ru/vacancy/55895848,100000.0,200000.0,руб,Gotbit,Москва
hh.ru,Python developer,https://spb.hh.ru/vacancy/55860589,2000.0,4500.0,USD,ООО Апподил,Минск
hh.ru,Senior Python разработчик (Remote),https://spb.hh.ru/vacancy/55413797,,5000.0,EUR,InvestEngine,Екатеринбург
hh.ru,Python-разработчик,https://spb.hh.ru/vacancy/51992559,100000.0,,руб,IT-команда НЕБО,Ростов-на-Дону
hh.ru,Аналитик баз данных,https://spb.hh.ru/vacancy/55080755,60000.0,70000.0,руб,Цифрал-Сервис,Самара
hh.ru,Аналитик данных,https://spb.hh.ru/vacancy/54786226,150000.0,,руб,Bip.ru,"Москва, Бауманская"
hh.ru,Python Developer (middle/senior),https://spb.hh.ru/vacancy/54048744,,,,FIRECODE,Ростов-на-Дону
hh.ru,Продуктовый аналитик,https://spb.hh.ru/vacancy/55532875,,240000.0,руб,Точка,Москва
hh.ru,Middle Python разработчик,https://spb.hh.ru/vacancy/54557297,190000.0,235000.0,руб,ООО ВижнЛабс (VisionLabs),Москва
hh.ru,Python-разработчик,https://spb.hh.ru/vacancy/46422522,80000.0,,руб,Группа компаний Лайт и Роспитание,Киров (Кировская область)
hh.ru,Junior Python разработчик (Django),https://spb.hh.ru/vacancy/54712246,60000.0,,руб,ООО МедРейтинг,Краснодар
hh.ru,Fullstack техлид (Python),https://spb.hh.ru/vacancy/53622010,250000.0,450000.0,руб,Russian Quantum Center,Москва
hh.ru,Python developer,https://spb.hh.ru/vacancy/66134559,,,,Sitronics KT,"Санкт-Петербург, Василеостровская"
hh.ru,Python разработчик (QA),https://spb.hh.ru/vacancy/54844293,,150000.0,руб,АО Эшелон Технологии,Москва
hh.ru,Senior Python developer,https://spb.hh.ru/vacancy/55153738,3500.0,,USD,T-DIGITAL,Москва
hh.ru,Python developer,https://spb.hh.ru/vacancy/55479954,,,,EWA,Москва
hh.ru,Аналитик данных / Data analyst / Data scientist,https://spb.hh.ru/vacancy/55096122,,,,ООО АТОН,"Москва, Новокузнецкая"
hh.ru,Python-разработчик,https://spb.hh.ru/vacancy/53893235,,,,ООО Константа,"Москва, Красносельская"
hh.ru,Python Big Data Developer,https://spb.hh.ru/vacancy/55157761,,,,Nitka Technologies,Тбилиси
hh.ru,Middle Python backend developer,https://spb.hh.ru/vacancy/55233917,90000.0,180000.0,руб,Федеральное автономное учреждение Государственный Научно-Исследовательский Институт Авиационных Систем,"Москва, Аэропорт"
hh.ru,Стажер QA (Auto),https://spb.hh.ru/vacancy/55900940,,,,"ПАО «МТС», Стажировки",Москва
hh.ru,Trainee Python Developer,https://spb.hh.ru/vacancy/55108459,,,,Innowise Group / Фабрика инноваций и решений,Минск
hh.ru,"Разработчик Python (Middle, Senior)",https://spb.hh.ru/vacancy/55088580,,,,NGENIX,"Москва, Аэропорт и еще 2 "
hh.ru,"Стажер ""НАПРАВЛЕНИЕ ПО РАЗВИТИЮ ЦИФРОВЫХ ТЕХНОЛОГИЙ""",https://spb.hh.ru/vacancy/54667586,33200.0,33200.0,руб,АО ВМЗ,Выкса
hh.ru,Python инженер (DevOps),https://spb.hh.ru/vacancy/55567373,,,,Группа Самолет,Москва
hh.ru,Инженер по автоматизации тестирования (QA) / Python разработчик,https://spb.hh.ru/vacancy/55255075,,,,ООО Основа Лаб,Москва
hh.ru,Data Analyst,https://spb.hh.ru/vacancy/55585044,,,,ООО Фриплэй,"Минск, Молодежная"
hh.ru,Python Web Developer (Junior),https://spb.hh.ru/vacancy/54358620,60000.0,,руб,DNS Головной офис,Владивосток
hh.ru,Data engineer,https://spb.hh.ru/vacancy/55253177,,180000.0,руб,"Hi, Rockits!",Москва
hh.ru,Senior Python developer,https://spb.hh.ru/vacancy/52433362,,,,АО РТИ,Пермь
hh.ru,Python-Разработчик (Управление голосовых сервисов),https://spb.hh.ru/vacancy/66121258,,,,Сбер для экспертов,Москва
hh.ru,Python developer,https://spb.hh.ru/vacancy/55897532,,,,Экспобанк,Казань
hh.ru,Middle/Senior Python-разработчик в команду Добычи данных,https://spb.hh.ru/vacancy/66066363,,,,2ГИС,Санкт-Петербург
hh.ru,Аналитик,https://spb.hh.ru/vacancy/55532826,,240000.0,руб,Точка,Екатеринбург
hh.ru,Junior/Middle Python Developer,https://spb.hh.ru/vacancy/54374433,,,,Информационное агентство России ТАСС,Москва
hh.ru,Senior Python Engineer,https://spb.hh.ru/vacancy/55100948,250000.0,300000.0,руб,ООО Рекон Групп,Санкт-Петербург
hh.ru,Senior Python Developer,https://spb.hh.ru/vacancy/50475098,220000.0,270000.0,руб,iCore (Integration Core),"Москва, Дубровка"
hh.ru,Разработчик ПО на PHP7/Python,https://spb.hh.ru/vacancy/55357795,1000.0,3000.0,бел,ОАО АСБ Беларусбанк,"Минск, Петровщина"
hh.ru,С/С++/Python Developer,https://spb.hh.ru/vacancy/48022036,,,,"DSR, Группа Компаний",Воронеж
hh.ru,Middle/Senior Python-разработчик в команду Добычи данных,https://spb.hh.ru/vacancy/66064403,,,,2ГИС,Нижний Новгород
hh.ru,Специалист по автотестированию (Python),https://spb.hh.ru/vacancy/55046909,,,,Ростелеком-Солар,Москва
hh.ru,Python developer (SberWorks),https://spb.hh.ru/vacancy/66107208,,,,Сбер. IT,"Москва, Верхние Котлы и еще 1 "
hh.ru,Python Developer (Middle),https://spb.hh.ru/vacancy/55517531,,,,Сбер. Data Science,Москва
hh.ru,QA Automation Engineer (Python),https://spb.hh.ru/vacancy/55900178,,,,HiQo Solutions,Тбилиси
hh.ru,Python-разработчик,https://spb.hh.ru/vacancy/55869466,,,,ООО ИСЕРВ,Чебоксары
hh.ru,Database Developer,https://spb.hh.ru/vacancy/66080839,,,,ООО Твистеллар,Минск
hh.ru,Python разработчик,https://spb.hh.ru/vacancy/55858608,,,,ООО ПК Энергосбережение,Петрозаводск
hh.ru,Tech lead (python),https://spb.hh.ru/vacancy/55553950,,,,ООО ВС Кэпитал,Ростов-на-Дону
hh.ru,Senior python developer (computing frameworks),https://spb.hh.ru/vacancy/55480836,200000.0,300000.0,руб,Russian Quantum Center,Москва
hh.ru,Middle/Senior Python-разработчик в команду Добычи данных,https://spb.hh.ru/vacancy/66066365,,,,2ГИС,Казань
hh.ru,Middle Data Engineer/Команда Подготовки онлайн данных,https://spb.hh.ru/vacancy/66122262,,,,"Kaspi Bank, АО",Алматы
hh.ru,Python разработчик,https://spb.hh.ru/vacancy/55512139,138000.0,161000.0,руб,КОНТРОЛ лизинг,"Москва, Маяковская и еще 2 "
hh.ru,Senior Python Developer - AI/ML Infrastructure (to Canada/Serbia),https://spb.hh.ru/vacancy/54346657,8500.0,11000.0,USD,Behavox,Москва
hh.ru,Разработчик,https://spb.hh.ru/vacancy/51200595,,,,"Евразийский банк, АО",Алматы
hh.ru,Data Engineer,https://spb.hh.ru/vacancy/55380690,150000.0,180000.0,руб,Платформа ОФД,Москва
hh.ru,Python Developer (Cloud),https://spb.hh.ru/vacancy/55893082,,,,Arrival. Technology,Тбилиси
hh.ru,Старший программист Python,https://spb.hh.ru/vacancy/55191865,,,,ЭР-Телеком,Пермь
hh.ru,Senior Python developer,https://spb.hh.ru/vacancy/66122688,,,,Target ID,Москва
hh.ru,Python-разработчик (middle),https://spb.hh.ru/vacancy/55464898,,,,билайн: ИТ и Digital,Москва
